premise_v2,hypothesis_v2,premise_sentences,hypothesis_sentences,labels,label_name,premise_lemma,premise_pos,hypothesis_lemma,hypothesis_pos
Жінка і чоловік поцілуються.,Хлопчик і дівчина грають в тег.,['Жінка і чоловік поцілуються.'],['Хлопчик і дівчина грають в тег.'],2,contradiction,жінка і чоловік поцілуватися .,NOUN CCONJ NOUN VERB PUNCT,хлопчик і дівчина грати в тег .,NOUN CCONJ NOUN VERB ADP NOUN PUNCT
Чоловік з бородою у білої рубаці і чорних шортах ходить по лісовій дорозі.,Чоловік з бородою носить підніжки для походу.,['Чоловік з бородою у білої рубаці і чорних шортах ходить по лісовій дорозі.'],['Чоловік з бородою носить підніжки для походу.'],1,neutral,чоловік з борода у білий рубак і чорний шорт ходити по лісовий дорога .,NOUN ADP NOUN ADP ADJ NOUN CCONJ ADJ NOUN VERB ADP ADJ NOUN PUNCT,чоловік з борода носити підніжка для похід .,NOUN ADP NOUN VERB NOUN ADP NOUN PUNCT
Хлопчик з пораненим правою рукою і в синих шортах лежить на ліжку з рушницею.,Хлопчик бігає навколо.,['Хлопчик з пораненим правою рукою і в синих шортах лежить на ліжку з рушницею.'],['Хлопчик бігає навколо.'],2,contradiction,хлопчик з поранений правий рука і в синий шорт лежати на ліжко з рушниця .,NOUN ADP ADJ ADJ NOUN CCONJ ADP ADJ NOUN VERB ADP NOUN ADP NOUN PUNCT,хлопчик бігати навколо .,NOUN VERB ADV PUNCT
"Дві жінки сидять за столом разом, працюють над ремеслами.","Дві жінки сидять за столом разом, працюють над ремеслами і розмовляють.","['Дві жінки сидять за столом разом, працюють над ремеслами.']","['Дві жінки сидять за столом разом, працюють над ремеслами і розмовляють.']",1,neutral,"два жінка сидіти за стіл разом , працювати над ремесл .",NUM NOUN VERB ADP NOUN ADV PUNCT VERB ADP NOUN PUNCT,"два жінка сидіти за стіл разом , працювати над ремесл і розмовляти .",NUM NOUN VERB ADP NOUN ADV PUNCT VERB ADP NOUN CCONJ VERB PUNCT
"Жінка в шапці, яка носить маленьку дівчинку на спині.",Жінка несе дочку на спині.,"['Жінка в шапці, яка носить маленьку дівчинку на спині.']",['Жінка несе дочку на спині.'],1,neutral,"жінка в шапка , який носити маленький дівчинка на спина .",NOUN ADP NOUN PUNCT DET VERB ADJ NOUN ADP NOUN PUNCT,жінка нести дочка на спина .,NOUN VERB NOUN ADP NOUN PUNCT
Маскот кінь Оклахоми в морі червоних любителів,Маскот кінь Оклахоми оточений червоними фанатами.,['Маскот кінь Оклахоми в морі червоних любителів'],['Маскот кінь Оклахоми оточений червоними фанатами.'],0,entailment,маскот кінь Оклахоми в море червоний любитель,NOUN NOUN PROPN ADP NOUN ADJ NOUN,маскот кінь Оклахоми оточений червоний фаната .,NOUN NOUN PROPN ADJ ADJ NOUN PUNCT
"Гурт людей чекає в черзі, щоб замовити їжу.","Люди стоять у черзі, чекаючи, щоб замовити їжу.","['Гурт людей чекає в черзі, щоб замовити їжу.']","['Люди стоять у черзі, чекаючи, щоб замовити їжу.']",0,entailment,"гурт людина чекати в черга , щоб замовити їжа .",NOUN NOUN VERB ADP NOUN PUNCT SCONJ VERB NOUN PUNCT,"людина стояти у черга , чекати , щоб замовити їжа .",NOUN VERB ADP NOUN PUNCT VERB PUNCT SCONJ VERB NOUN PUNCT
Азіатська жінка дивиться через вікно в поїзді.,Жінка їздить поїздом.,['Азіатська жінка дивиться через вікно в поїзді.'],['Жінка їздить поїздом.'],0,entailment,азіатський жінка дивитися через вікно в поїзд .,ADJ NOUN VERB ADP NOUN ADP NOUN PUNCT,жінка їздити поїзд .,NOUN VERB NOUN PUNCT
Один трактор намагається підняти інший.,Груза підбирає інший.,['Один трактор намагається підняти інший.'],['Груза підбирає інший.'],2,contradiction,один трактор намагатися підняти інший .,DET NOUN VERB VERB DET PUNCT,груза підбирати інший .,NOUN VERB DET PUNCT
"Чоловік у синій і жовтій дивиться на ""Джумботрона"".","Чоловік у чорному дивиться на ""Джумботрона"".","['Чоловік у синій і жовтій дивиться на ""Джумботрона"".']","['Чоловік у чорному дивиться на ""Джумботрона"".']",2,contradiction,"чоловік у синій і жовтий дивитися на "" Джумботрон "" .",NOUN ADP ADJ CCONJ ADJ VERB ADP PUNCT PROPN PUNCT PUNCT,"чоловік у чорний дивитися на "" Джумботрон "" .",NOUN ADP NOUN VERB ADP PUNCT PROPN PUNCT PUNCT
"Чоловік у смужному футболіку знімає фотографію, а за ним чоловік їздить на велосипеді.",Чоловік знімає птахів.,"['Чоловік у смужному футболіку знімає фотографію, а за ним чоловік їздить на велосипеді.']",['Чоловік знімає птахів.'],1,neutral,"чоловік у смужний футболіка знімати фотографій , а за він чоловік їздити на велосипедь .",NOUN ADP ADJ NOUN VERB NOUN PUNCT CCONJ ADP PRON NOUN VERB ADP NOUN PUNCT,чоловік знімати птах .,NOUN VERB NOUN PUNCT
"Чоловік відпочиває поруч зі своїм велосипедом, знявши перчатку.","Після того, як він перевернув велосипед, він зняв перчатку і розслабився.","['Чоловік відпочиває поруч зі своїм велосипедом, знявши перчатку.']","['Після того, як він перевернув велосипед, він зняв перчатку і розслабився.']",0,entailment,"чоловік відпочивати поруч зі свій велосипед , зняти перчатко .",NOUN VERB ADV ADP DET NOUN PUNCT VERB NOUN PUNCT,"після те , як він перевернути велосипед , він зняти перчатко і розслабитися .",ADP PRON PUNCT SCONJ PRON VERB NOUN PUNCT PRON VERB NOUN CCONJ VERB PUNCT
Чоловік у жовтому дожджливому пальто грає на музичному інструменті серед чорно-білих птахів.,На вулиці чоловік грає на інструменті.,['Чоловік у жовтому дожджливому пальто грає на музичному інструменті серед чорно-білих птахів.'],['На вулиці чоловік грає на інструменті.'],0,entailment,чоловік у жовтий дожджливий пальто грати на музичний інструмент серед чорний - білий птах .,NOUN ADP ADJ ADJ NOUN VERB ADP ADJ NOUN ADP ADJ PUNCT ADJ NOUN PUNCT,на вулиця чоловік грати на інструмент .,ADP NOUN NOUN VERB ADP NOUN PUNCT
"Група людей проїхала по тротуар, пройшла дві лавки, відстаючи від камери.",Люди ходять по тротуар.,"['Група людей проїхала по тротуар, пройшла дві лавки, відстаючи від камери.']",['Люди ходять по тротуар.'],0,entailment,"група людина проїхати по тротуар , пройти два лавка , відставати від камера .",NOUN NOUN VERB ADP NOUN PUNCT VERB NUM NOUN PUNCT VERB ADP NOUN PUNCT,людина ходити по тротуар .,NOUN VERB ADP NOUN PUNCT
Два чоловіки у чорних сорочках сидять на білому дивані і працюють над ноутбуками.,Два чоловіки у чорних сорочках сидять під ноутбуками на дивані з перекощеним ногами.,['Два чоловіки у чорних сорочках сидять на білому дивані і працюють над ноутбуками.'],['Два чоловіки у чорних сорочках сидять під ноутбуками на дивані з перекощеним ногами.'],1,neutral,два чоловік у чорний сорочка сидіти на білий диван і працювати над ноутбук .,NUM NOUN ADP ADJ NOUN VERB ADP ADJ NOUN CCONJ VERB ADP NOUN PUNCT,два чоловік у чорний сорочка сидіти під ноутбук на диван з перекощений нога .,NUM NOUN ADP ADJ NOUN VERB ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT
Дві поцілування біля залізничних залізниць.,Вони поцілуються на сбогу.,['Дві поцілування біля залізничних залізниць.'],['Вони поцілуються на сбогу.'],1,neutral,два поцілування біля залізничний залізниця .,NUM NOUN ADP ADJ NOUN PUNCT,вони поцілуватися на сбога .,PRON VERB ADP NOUN PUNCT
"Чоловік стоїть на стороні і дивиться на людей, які тримають блакитні знаки.","Чоловік каже людям, де покласти знаки.","['Чоловік стоїть на стороні і дивиться на людей, які тримають блакитні знаки.']","['Чоловік каже людям, де покласти знаки.']",1,neutral,"чоловік стояти на сторона і дивитися на людина , який тримати блакитний знак .",NOUN VERB ADP NOUN CCONJ VERB ADP NOUN PUNCT DET VERB ADJ NOUN PUNCT,"чоловік казати людина , де покласти знак .",NOUN VERB NOUN PUNCT ADV VERB NOUN PUNCT
"Троє хлопців разом, а один з них фотографувається з камерою.",Хлопці грають в футбол.,"['Троє хлопців разом, а один з них фотографувається з камерою.']",['Хлопці грають в футбол.'],1,neutral,"троє хлопець разом , а один з вони фотографуватися з камера .",NUM NOUN ADV PUNCT CCONJ DET ADP PRON VERB ADP NOUN PUNCT,хлопець грати в футбол .,NOUN VERB ADP NOUN PUNCT
"Новий батько бачить, що його батьківство продовжується.",Чоловік щасливо розмірює про батьківство.,"['Новий батько бачить, що його батьківство продовжується.']",['Чоловік щасливо розмірює про батьківство.'],1,neutral,"новий батько бачити , що його батьківство продовжуватися .",ADJ NOUN VERB PUNCT SCONJ DET NOUN VERB PUNCT,чоловік щасливо розмірювати про батьківство .,NOUN ADV VERB ADP NOUN PUNCT
"Чоловік і жінка в кухні їдять те, що вони приготували.",Чоловік їсть з посудами.,"['Чоловік і жінка в кухні їдять те, що вони приготували.']",['Чоловік їсть з посудами.'],1,neutral,"чоловік і жінка в кухня їсти те , що вони приготувати .",NOUN CCONJ NOUN ADP NOUN VERB PRON PUNCT SCONJ PRON VERB PUNCT,чоловік їсти з посуд .,NOUN VERB ADP NOUN PUNCT
Музикант на натовпній вулиці.,Піаністи виступають перед переповненим залом.,['Музикант на натовпній вулиці.'],['Піаністи виступають перед переповненим залом.'],2,contradiction,музикант на натовпний вулиця .,NOUN ADP ADJ NOUN PUNCT,піаніст виступати перед переповнений зал .,NOUN VERB ADP ADJ NOUN PUNCT
"Чоловік у кольоровій сорочки, блакитних джинсів і великих червоних сонячних окулярів сидить на траві з руками на колінах.",Сонце світить яскраво.,"['Чоловік у кольоровій сорочки, блакитних джинсів і великих червоних сонячних окулярів сидить на траві з руками на колінах.']",['Сонце світить яскраво.'],1,neutral,"чоловік у кольоровий сорочка , блакитний джинси і великий червоний сонячний окуляри сидіти на траві з рука на коліна .",NOUN ADP ADJ NOUN PUNCT ADJ NOUN CCONJ ADJ ADJ ADJ NOUN VERB ADP NOUN ADP NOUN ADP NOUN PUNCT,сонце світити яскраво .,NOUN VERB ADV PUNCT
"Група людей, весілля, в тому числі наречена і наречена, ходять по дорозі, яка об'єднана свердловинами і оточена травою та деревами.",Жених і наречена одружуються на відкритому повітрі.,"[""Група людей, весілля, в тому числі наречена і наречена, ходять по дорозі, яка об'єднана свердловинами і оточена травою та деревами.""]",['Жених і наречена одружуються на відкритому повітрі.'],1,neutral,"група людина , весілля , в той число наречен і наречен , ходити по дорога , який об’єднаний свердловина і оточений трава та дерево .",NOUN NOUN PUNCT NOUN PUNCT ADP DET NOUN NOUN CCONJ NOUN PUNCT VERB ADP NOUN PUNCT DET ADJ NOUN CCONJ ADJ NOUN CCONJ NOUN PUNCT,жених і наречен одружуватися на відкритий повітря .,NOUN CCONJ NOUN VERB ADP ADJ NOUN PUNCT
"Хтось, хто носить гумові перчатки, миє посуду.","Хтось, хто носить перчатки, миє посуду.","['Хтось, хто носить гумові перчатки, миє посуду.']","['Хтось, хто носить перчатки, миє посуду.']",0,entailment,"хтось , хто носити гумовий перчатка , мити посуд .",PRON PUNCT PRON VERB ADJ NOUN PUNCT VERB NOUN PUNCT,"хтось , хто носити перчатка , мити посуд .",PRON PUNCT PRON VERB NOUN PUNCT VERB NOUN PUNCT
"Жінка, яка носить червоний танковий верх, піднімає два дубббл в спортзалі.","Жінка їсть величезний кусок шоколаду, дивлячись на телевізор","['Жінка, яка носить червоний танковий верх, піднімає два дубббл в спортзалі.']","['Жінка їсть величезний кусок шоколаду, дивлячись на телевізор']",2,contradiction,"жінка , який носити червоний танковий верх , піднімати два дубббл в спортзал .",NOUN PUNCT DET VERB ADJ ADJ NOUN PUNCT VERB NUM NOUN ADP NOUN PUNCT,"жінка їсти величезний кусок шоколад , дивитися на телевізор",NOUN VERB ADJ NOUN NOUN PUNCT VERB ADP NOUN
"Чоловік у чорному, який позирує танцювача, коли інший починає бігти перед сценой.",Жінка керуває групою,"['Чоловік у чорному, який позирує танцювача, коли інший починає бігти перед сценой.']",['Жінка керуває групою'],2,contradiction,"чоловік у чорний , який позирувати танцювач , коли інший починати бігти перед сценой .",NOUN ADP ADJ PUNCT DET VERB NOUN PUNCT ADV DET VERB VERB ADP NOUN PUNCT,жінка керувати група,NOUN VERB NOUN
"Жінка темнокожій, одягнена у чорно-білий верхній ковчег з коричневим шерстиним окладом, розміщує на столі брошури та інші папері.",Чоловік спить.,"['Жінка темнокожій, одягнена у чорно-білий верхній ковчег з коричневим шерстиним окладом, розміщує на столі брошури та інші папері.']",['Чоловік спить.'],2,contradiction,"жінка темнокожий , одягнений у чорний - білий верхній ковчега з коричневий шерстиний оклад , розміщувати на стіл брошура та інший папір .",NOUN ADJ PUNCT ADJ ADP ADJ PUNCT ADJ ADJ NOUN ADP ADJ ADJ NOUN PUNCT VERB ADP NOUN NOUN CCONJ DET NOUN PUNCT,чоловік спати .,NOUN VERB PUNCT
Два чоловіки ходять з слоном.,Два чоловіки в окопі ходять з слоном.,['Два чоловіки ходять з слоном.'],['Два чоловіки в окопі ходять з слоном.'],1,neutral,два чоловік ходити з слон .,NUM NOUN VERB ADP NOUN PUNCT,два чоловік в окоп ходити з слон .,NUM NOUN ADP NOUN VERB ADP NOUN PUNCT
Чоловік в кильті на фестивалі Відродження,Скидкий хлопець на карнавалі.,['Чоловік в кильті на фестивалі Відродження'],['Скидкий хлопець на карнавалі.'],2,contradiction,чоловік в кильта на фестиваль відродження,NOUN ADP NOUN ADP NOUN NOUN,скидкий хлопець на карнавал .,ADJ NOUN ADP NOUN PUNCT
"Жінка, одягнена в білий верхній плащ, білий тенісний спальня і білі тенісні взуття, слугуючи на травні тенісні корти, поки два судді лінії спостерігали.",Жінка грає в теніс з іншою жінкою,"['Жінка, одягнена в білий верхній плащ, білий тенісний спальня і білі тенісні взуття, слугуючи на травні тенісні корти, поки два судді лінії спостерігали.']",['Жінка грає в теніс з іншою жінкою'],1,neutral,"жінка , одягнений в білий верхній плащ , білий тенісний спальня і білий тенісний взуття , слугувати на травень тенісний корт , поки два судді лінія спостерігати .",NOUN PUNCT ADJ ADP ADJ ADJ NOUN PUNCT ADJ ADJ NOUN CCONJ ADJ ADJ NOUN PUNCT VERB ADP NOUN ADJ NOUN PUNCT ADV NUM NOUN NOUN VERB PUNCT,жінка грати в теніс з інший жінка,NOUN VERB ADP NOUN ADP DET NOUN
Собака біжить на полі.,Там біжить тварина,['Собака біжить на полі.'],['Там біжить тварина'],0,entailment,собака бігти на поле .,NOUN VERB ADP NOUN PUNCT,там бігти тварина,ADV VERB NOUN
Жінка в червоній куртці і її компаньон їдять закуски.,Жінка кладе їжу в рот.,['Жінка в червоній куртці і її компаньон їдять закуски.'],['Жінка кладе їжу в рот.'],0,entailment,жінка в червоний куртка і її компаньон їсти закуска .,NOUN ADP ADJ NOUN CCONJ DET NOUN VERB NOUN PUNCT,жінка класти їжа в рот .,NOUN VERB NOUN ADP NOUN PUNCT
"Діти піднімаються на дерево, а доглядачі дивляться.","Відповідальні дорослі спостерігають, як діти підбираються на дерево.","['Діти піднімаються на дерево, а доглядачі дивляться.']","['Відповідальні дорослі спостерігають, як діти підбираються на дерево.']",0,entailment,"дитина підніматися на дерево , а доглядач дивитися .",NOUN VERB ADP NOUN PUNCT CCONJ NOUN VERB PUNCT,"відповідальний дорослий спостерігати , як дитина підбиратися на дерево .",ADJ NOUN VERB PUNCT SCONJ NOUN VERB ADP NOUN PUNCT
"Великий апельсиновий собака проїжджає через траву біля води, де на задньому плане плаває велика човна.",На вулиці собака.,"['Великий апельсиновий собака проїжджає через траву біля води, де на задньому плане плаває велика човна.']",['На вулиці собака.'],0,entailment,"великий апельсиновий собака проїжджати через трава біля вода , де на задній плане плавати великий човен .",ADJ ADJ NOUN VERB ADP NOUN ADP NOUN PUNCT ADV ADP ADJ NOUN VERB ADJ NOUN PUNCT,на вулиця собака .,ADP NOUN NOUN PUNCT
"Фанати на футбольній грі привітають, коли гравець бігає до кінцевої зони.",Фанів привітали на концерті на відкритому повітрі.,"['Фанати на футбольній грі привітають, коли гравець бігає до кінцевої зони.']",['Фанів привітали на концерті на відкритому повітрі.'],2,contradiction,"фаната на футбольний гра привітати , коли гравець бігати до кінцевий зона .",NOUN ADP ADJ NOUN VERB PUNCT ADV NOUN VERB ADP ADJ NOUN PUNCT,фан привітати на концерт на відкритий повітря .,NOUN VERB ADP NOUN ADP ADJ NOUN PUNCT
Чоловік у танковому тако і жінка в бікіні танцюють разом на вулиці під світильцем перед фоном глядачів.,Люди нічого не роблять.,['Чоловік у танковому тако і жінка в бікіні танцюють разом на вулиці під світильцем перед фоном глядачів.'],['Люди нічого не роблять.'],2,contradiction,чоловік у танковий тако і жінка в бікін танцювати разом на вулиця під світилець перед фон глядач .,NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN VERB ADV ADP NOUN ADP NOUN ADP NOUN NOUN PUNCT,людина ніщо не робити .,NOUN PRON PART VERB PUNCT
"Дві чоловіки в рятувальних жилетах працюють на реактивному льодовику, а маленький хлопчик у рятувальному жилеті і жінка дивляться.",Два чоловіки працюють на реактивному льодовику,"['Дві чоловіки в рятувальних жилетах працюють на реактивному льодовику, а маленький хлопчик у рятувальному жилеті і жінка дивляться.']",['Два чоловіки працюють на реактивному льодовику'],0,entailment,"два чоловік в рятувальний жилет працювати на реактивний льодовик , а маленький хлопчик у рятувальний жилет і жінка дивитися .",NUM NOUN ADP ADJ NOUN VERB ADP ADJ NOUN PUNCT CCONJ ADJ NOUN ADP ADJ NOUN CCONJ NOUN VERB PUNCT,два чоловік працювати на реактивний льодовик,NUM NOUN VERB ADP ADJ NOUN
Багато дітей і жінок грають навколо свинської статуї.,Матері та діти зустрічаються у статуї в парку.,['Багато дітей і жінок грають навколо свинської статуї.'],['Матері та діти зустрічаються у статуї в парку.'],1,neutral,багато дитина і жінка грати навколо свинський статуя .,DET NOUN CCONJ NOUN VERB ADP ADJ NOUN PUNCT,мати та дитина зустрічатися у статуя в парк .,NOUN CCONJ NOUN VERB ADP NOUN ADP NOUN PUNCT
"Дитина в червоній суверти, джинси, чорна велосипедна каска і собака позирує для фото на відкритому повітрі.",Вони знімали фотографії в приміщенні.,"['Дитина в червоній суверти, джинси, чорна велосипедна каска і собака позирує для фото на відкритому повітрі.']",['Вони знімали фотографії в приміщенні.'],2,contradiction,"дитина в червоний суверт , джинса , чорний велосипедний каска і собака позирувати для фото на відкритий повітря .",NOUN ADP ADJ NOUN PUNCT NOUN PUNCT ADJ ADJ NOUN CCONJ NOUN VERB ADP NOUN ADP ADJ NOUN PUNCT,вони знімати фотографія в приміщення .,PRON VERB NOUN ADP NOUN PUNCT
Четири чоловіків їдуть на задній частині сміттєвого автомашини.,Ця вантажівка запахне сміттям.,['Четири чоловіків їдуть на задній частині сміттєвого автомашини.'],['Ця вантажівка запахне сміттям.'],1,neutral,четир чоловік їхати на задній частина сміттєвий автомашина .,NOUN NOUN VERB ADP ADJ NOUN ADJ NOUN PUNCT,цей вантажівка запахнути сміття .,DET NOUN VERB NOUN PUNCT
Молодий хлопчик на зубах та окулярах містера Картофельного Голову.,Хлопчик носить аксесуар мистера Картофельного Голову.,['Молодий хлопчик на зубах та окулярах містера Картофельного Голову.'],['Хлопчик носить аксесуар мистера Картофельного Голову.'],0,entailment,молодий хлопчик на зуб та окуляри містер Картофельний голова .,ADJ NOUN ADP NOUN CCONJ NOUN NOUN PROPN NOUN PUNCT,хлопчик носити аксесуар мистера картофельний голова .,NOUN VERB NOUN NOUN ADJ NOUN PUNCT
Дві хлопці у синій футболці стоять перед сірою машиною.,"Механік, який працює над машиною.",['Дві хлопці у синій футболці стоять перед сірою машиною.'],"['Механік, який працює над машиною.']",2,contradiction,два хлопець у синій футболка стояти перед сірий машина .,NUM NOUN ADP ADJ NOUN VERB ADP ADJ NOUN PUNCT,"механік , який працювати над машина .",NOUN PUNCT DET VERB ADP NOUN PUNCT
"Азіатські жінки в різних формах одягу використовують пастельні парасолі, щоб захистити себе від сонця.",Азіатські жінки в різних формах одягу використовують великі пастельні парасолі.,"['Азіатські жінки в різних формах одягу використовують пастельні парасолі, щоб захистити себе від сонця.']",['Азіатські жінки в різних формах одягу використовують великі пастельні парасолі.'],1,neutral,"азіатський жінка в різний форма одяг використовувати пастельний парасоль , щоб захистити себе від сонце .",ADJ NOUN ADP ADJ NOUN NOUN VERB ADJ NOUN PUNCT SCONJ VERB PRON ADP NOUN PUNCT,азіатський жінка в різний форма одяг використовувати великий пастельний парасоль .,ADJ NOUN ADP ADJ NOUN NOUN VERB ADJ ADJ NOUN PUNCT
Група людей танцює.,Люди грають в баскетбол у саді на площі Мэдісон.,['Група людей танцює.'],['Люди грають в баскетбол у саді на площі Мэдісон.'],2,contradiction,група людина танцювати .,NOUN NOUN VERB PUNCT,людина грати в баскетбол у сад на площа Мэдісон .,NOUN VERB ADP NOUN ADP NOUN ADP NOUN PROPN PUNCT
"Дві маленькі діти випробовують свої нові камери, які, ймовірно, були дані жінками у чорному.",Жінки одягаються в цвёрда рожеву.,"['Дві маленькі діти випробовують свої нові камери, які, ймовірно, були дані жінками у чорному.']",['Жінки одягаються в цвёрда рожеву.'],2,contradiction,"два маленький дитина випробовувати свій новий камера , який , ймовірно , бути дані жінка у чорний .",NUM ADJ NOUN VERB DET ADJ NOUN PUNCT DET PUNCT ADV PUNCT AUX NOUN NOUN ADP NOUN PUNCT,жінка одягатися в цвёрда рожевий .,NOUN VERB ADP NOUN ADJ PUNCT
Діти грають у ванні з пластикових топків.,Дети грають.,['Діти грають у ванні з пластикових топків.'],['Дети грають.'],0,entailment,дитина грати у ванна з пластиковий топкі .,NOUN VERB ADP NOUN ADP ADJ NOUN PUNCT,дета грати .,NOUN VERB PUNCT
"Це зйомка з голови азіатської жінки, яка носить синій колір.",Азіяцка жінка в голові.,"['Це зйомка з голови азіатської жінки, яка носить синій колір.']",['Азіяцка жінка в голові.'],0,entailment,"це зйомка з голова азіатський жінка , який носити синій колір .",PRON NOUN ADP NOUN ADJ NOUN PUNCT DET VERB ADJ NOUN PUNCT,азіяцкий жінка в голова .,ADJ NOUN ADP NOUN PUNCT
Дитина в дитячому клубі з широкими очима,У заграді дитина.,['Дитина в дитячому клубі з широкими очима'],['У заграді дитина.'],0,entailment,дитина в дитячий клуб з широкий око,NOUN ADP ADJ NOUN ADP ADJ NOUN,у заграда дитина .,ADP NOUN NOUN PUNCT
"Два футболісти виходять з поля, коли натовп стоїть на своїх місцях.","Натовп дивиться, як підуть два футболіста.","['Два футболісти виходять з поля, коли натовп стоїть на своїх місцях.']","['Натовп дивиться, як підуть два футболіста.']",1,neutral,"два футболість виходити з поле , коли натовп стояти на свій місце .",NUM NOUN VERB ADP NOUN PUNCT ADV NOUN VERB ADP DET NOUN PUNCT,"натовп дивитися , як піти два футболіст .",NOUN VERB PUNCT ADV VERB NUM NOUN PUNCT
Жінка в білому куртці і шапці допомагає молодому дівчинці в мистецтві і ремеслах.,Одна дама допомогла дівчині з мистецтвом.,['Жінка в білому куртці і шапці допомагає молодому дівчинці в мистецтві і ремеслах.'],['Одна дама допомогла дівчині з мистецтвом.'],0,entailment,жінка в білий куртка і шапка допомагати молодий дівчинка в мистецтво і ремесл .,NOUN ADP ADJ NOUN CCONJ NOUN VERB ADJ NOUN ADP NOUN CCONJ NOUN PUNCT,один дама допомогти дівчина з мистецтво .,DET NOUN VERB NOUN ADP NOUN PUNCT
"Любляча пара з водою перед ними, старое будівля з окрасованими колоннами на задньому плані.",Пара знаходиться в пустелі.,"['Любляча пара з водою перед ними, старое будівля з окрасованими колоннами на задньому плані.']",['Пара знаходиться в пустелі.'],2,contradiction,"люблячий пара з вода перед вони , старой будівля з окрасований колонна на задній план .",ADJ NOUN ADP NOUN ADP PRON PUNCT ADJ NOUN ADP ADJ NOUN ADP ADJ NOUN PUNCT,пара знаходитися в пустель .,NOUN VERB ADP NOUN PUNCT
Чоловік сидить і тримає молодого хлопчика.,Він не один.,['Чоловік сидить і тримає молодого хлопчика.'],['Він не один.'],0,entailment,чоловік сидіти і тримати молодий хлопчик .,NOUN VERB CCONJ VERB ADJ NOUN PUNCT,він не один .,PRON PART DET PUNCT
Група чоловіків у костюмах грають на тубах.,Група професійних музикантів грає на тубанах.,['Група чоловіків у костюмах грають на тубах.'],['Група професійних музикантів грає на тубанах.'],1,neutral,група чоловік у костюм грати на туб .,NOUN NOUN ADP NOUN VERB ADP NOUN PUNCT,група професійний музикант грати на тубан .,NOUN ADJ NOUN VERB ADP NOUN PUNCT
Чоловік розрізає гриби.,Людина розрізає гриби.,['Чоловік розрізає гриби.'],['Людина розрізає гриби.'],0,entailment,чоловік розрізати гриб .,NOUN VERB NOUN PUNCT,людина розрізати гриб .,NOUN VERB NOUN PUNCT
Силуєта маленької дівчини в юбіліті проїжджає по пляжі підсумом.,Вона бегає приблизно на 200 миль в час.,['Силуєта маленької дівчини в юбіліті проїжджає по пляжі підсумом.'],['Вона бегає приблизно на 200 миль в час.'],2,contradiction,силуєт маленький дівчина в юбіліт проїжджати по пляж підсум .,NOUN ADJ NOUN ADP NOUN VERB ADP NOUN NOUN PUNCT,вона бегати приблизно на 200 миль в час .,PRON VERB ADV ADP NUM NOUN ADP NOUN PUNCT
"Дитина, яка грає в футбол.",Дитяче - це гра.,"['Дитина, яка грає в футбол.']",['Дитяче - це гра.'],0,entailment,"дитина , який грати в футбол .",NOUN PUNCT DET VERB ADP NOUN PUNCT,дитячий - це гра .,ADJ PUNCT PRON NOUN PUNCT
Чоловік з однією ногою грає в волейбол.,Чоловік з однією ногою сидить на інвалідному колищі.,['Чоловік з однією ногою грає в волейбол.'],['Чоловік з однією ногою сидить на інвалідному колищі.'],2,contradiction,чоловік з один нога грати в волейбол .,NOUN ADP DET NOUN VERB ADP NOUN PUNCT,чоловік з один нога сидіти на інвалідний колище .,NOUN ADP DET NOUN VERB ADP ADJ NOUN PUNCT
Безшмітний солдат горіться на вулиці з маленьким шчанюком.,Чоловік з собакою на вулиці.,['Безшмітний солдат горіться на вулиці з маленьким шчанюком.'],['Чоловік з собакою на вулиці.'],0,entailment,безшмітний солдат горітися на вулиця з маленький шчанюк .,ADJ NOUN VERB ADP NOUN ADP ADJ NOUN PUNCT,чоловік з собака на вулиця .,NOUN ADP NOUN ADP NOUN PUNCT
Десь у парку фестиваль.,У парку відбудеться фестиваль 4 липня.,['Десь у парку фестиваль.'],['У парку відбудеться фестиваль 4 липня.'],1,neutral,десь у парк фестиваль .,ADV ADP NOUN NOUN PUNCT,у парк відбутися фестиваль 4 липень .,ADP NOUN VERB NOUN ADJ NOUN PUNCT
Старіший чоловік купує в Walmart за милом для прання.,Старійшина купує у Walmart для відмивки.,['Старіший чоловік купує в Walmart за милом для прання.'],['Старійшина купує у Walmart для відмивки.'],0,entailment,старіший чоловік купувати в Walmart за мил для прання .,ADJ NOUN VERB ADP X ADP NOUN ADP NOUN PUNCT,старійшина купувати у Walmart для відмивка .,NOUN VERB ADP X ADP NOUN PUNCT
"Постарший чоловік їхав на громадському транспорті, читаючи газету.",Чоловік читає книгу.,"['Постарший чоловік їхав на громадському транспорті, читаючи газету.']",['Чоловік читає книгу.'],2,contradiction,"постарший чоловік їхати на громадський транспорт , читати газета .",ADJ NOUN VERB ADP ADJ NOUN PUNCT VERB NOUN PUNCT,чоловік читати книга .,NOUN VERB NOUN PUNCT
Маленька дівчинка завалюється на вавторі.,Дівчина хоче скочити з колебальника.,['Маленька дівчинка завалюється на вавторі.'],['Дівчина хоче скочити з колебальника.'],1,neutral,маленький дівчинка завалюватися на вавтор .,ADJ NOUN VERB ADP NOUN PUNCT,дівчина хотіти скочити з колебальник .,NOUN VERB VERB ADP NOUN PUNCT
