premise,hypothesis,labels
Дві друзі поруч з закритою двері магазину обіймаються.,Дві друзі захоплюються.,1
Голоножка купує у вуличній тележці.,Жінка купує на вулиці.,0
Стара жінка стоїть біля жовтого ведра і ткає на ткані.,"Молодий міст, який робить текстиль для одягової промисловості.",2
Старий англійський джентльмен показує деякі з кращих продуктів Великобританії.,"Джентльменів, які показують продукти, молодо.",2
"Хлопці не виконують домашніх завдань, деякі сидять за столом, а двоє спить.",Співають чотири хлопчики.,2
Дві люди стрибають на веревку.,Дві дівчата сидять.,2
Група чоловіків грає на музичних інструментах на відкритому повітрі.,"Є чоловіки, які грають музику.",0
"Молода жінка сидить на сходах на вулиці, граючи на білий аккордеон перед дитиною.",Жінка грає музику для малюка з червоною шапкою.,1
"Молода дама в червоній сорочки сидить на публіці, використовуючи ноутбук.",Молодий чоловік дивиться на молоду жінку на ноутбуку.,2
"Дві жінки, що дивилися вниз.",Дві жінки дивляться під ними.,0
Молода жінка наносить макіяж з шчоткою для макіяжу на обличчя.,Жінка одягає грим.,0
Поліцейський з маскою і група школярок у уніформі на автобусному вокзалі.,Поблизу автобусної станції було натовп людей,0
Пара розмовляє перед гаражем магазину.,Пара сидить в кафе.,2
"Два чоловіки стоять один перед іншим, а чоловік на телефоні стоїть позаду.","Чоловік, який стоїть за ними, насправді жінка.",2
Дві працівники трудяться на плавній фабриці.,Дві працівники направляють важкий балкон з печі на плавній фабриці,1
Відзначається святкування святлі різдвяних свят за ланцюжковою огородою.,Люди радіють Хеллоуїну.,2
"Жінка, яка носить металевий головний одяг і костюм, обертає навколо себе кольорові шарфи.",Наголовок важкий.,1
Група дівчат привітали.,Там дівчата привітали,0
"Судовладельці, які позирують на фото в рятувальних жилетах.",Чоловіки на роботі в формі,0
"Псашки штани, стоячи в лісі.",Собака стоїть в лісі після бігу.,1
Дві жінки танцюють полю в середині вулиці.,"Дві жінки танцюють на стрілі, коли глядять люди.",1
"У вулиці, оточені будівлями і людьми, які ходять.",Група виходить з кафе після музичного виступу.,1
Чоловік сидить на полі і курить сигарету біля каналу.,"Чоловік, який виганяє сигарету.",2
Група підлітків стоїть і сидить на веранді будинку.,Підліткові скейтборд.,2
"Три футболісти спешають, щоб потрапити до м'яча першим.",Три футболісти переобираються в гардеробі.,2
"Молода жінка в розслабленому одязі, що протягує пробіг з невеликим вакуумом.",Там чоловік чистить кімнату.,2
"Група чоловіків, які стоять і розмовляють на відкритому повітрі.",Дехто з них розмовляє на вулиці.,0
Чоловік стоїть за гігантською зеленим машиною.,Чоловік стоїть за об'єктом,1
Чоловік набирає каміння біля берегу.,Чоловік біля води робить кучки камінь.,0
"Чоловік на сноуборд, який стрибає.",чоловік спить удома.,2
Жінка малює мультфільмового собаки на дерев'яному столі.,Чоловік малює Суперману,2
"Група маленьких дітей позирує для фото, сидіючи на стільцях і роблячи смішні обличчя.",Діти займаються фотографуванням для свого класу.,1
Дитина стрибає з труб на піскувому пляжі.,Дитина відвідує пляж зі своєю матір'ю.,1
Поза деревом чоловік їздить на ослиці.,Чоловік їздить на коні,2
Люди в шлемах гоняться по вулиці на скейтбордах.,Люди на скейтбордах на довгих дистанціях.,1
Чоловік диригує хором у соборі.,Хор співає в соборі,0
"дівчина, яка носила рожеві колебани на колебані.",Дитина грає на відкритому повітрі.,0
"Два ""Бігунів"", які знімаються з мотоцикла, під час перегляду глядачами.",Люди привітали до бігунів,1
"Безшмітний чоловік стрибає з старого каменного мосту, а жінка і діти спостерігають за ним.","Чоловік, який стрибає з мосту, коли інші дивляться.",0
"Дві діти йдуть по дорозі, оточені деревами.",Діти в літньому таборі.,1
"Жінка в зеленому пальто стоїть біля об'єкта, вказаного на небо.",Чоловік дивиться через телескоп.,2
Чоловік у сонячних окулярах використовує великий металевий гриль.,Жінка м'яча на сонці.,2
Дві чоловіки стоять на вулиці в жилетах і шапках.,Два чоловіки на бейсбольному матчі.,1
"Жінка, яка тримає дитину перед статуєю.",Дитина знаходиться під статуєю.,2
Жінка і чоловік насолоджуються його питтям у вечірну вечірку.,Дві люди виходять з вечірки з напоєм.,1
"Жінка обіймає дитину, коли сидить на синій дивані.",На цій фотографії є хоча б двоє людей.,0
Білий собака з чорними плями ловить червоного фрісбі.,кішка грає з ковбою,2
Дві маленькі дівчатка їдуть на одному велосипеді.,Дві маленькі дівчатка їдуть на одному велосипеді.,2
Люди ходять на мокрий палубі з парасолями.,Люди на човні під дощем.,1
"Два чоловіки, які працюють на соневій даху.",Дві жінки готують вечерю в будинку.,2
Чоловік стоїть на пляжі з апельсиновим балотом на голові.,Питий чоловік на пляжі з ветром на голові кричить на крабів.,2
"Жінка в машині, що стоїть на вулиці, дивиться на кішку.",Жінка сидить на газонокоші.,2
Мокрий бульдог вирвиться з води.,"Бульдог, який поцікається водою після купання.",1
"Людина в шортах, що вичипає сніг.",Чоловік очищує свій підхід від снігу.,1
"Чоловік, який виглядає так, ніби він щось наносить на обличчя і уши на залізничній станції.",чоловік чекає на залізничній станції,0
Жінський волейбол на Олімпійських іграх дуже інтенсивний.,"Дві жінки відпочивають в гарячому ванні, в той час як сіпають червоне вино.",2
"Дитина, яка носить сині шорти, білу футболку, футбольні носки і шін-охоронці, тримає рожеву м'яч над головою, коли готується викинути її.",Дівчатка має поставити мету.,1
Футбольний гравець готується кинути мяч.,Бейсбольна гра в прямому.,2
"Велика група людей ходить до чогось, і більшість з них мають рюкзаки.","Група людей рухається до чогось, що вимагає використання рюкзаку.",1
"Команда хокеїстів, один гравця робить стрільбу.",Група баскетболістів сидить в ресторані і дивиться хокей.,2
Чоловіки в футболіках західного стилю і кавбоїцьких шляпах сидять з конем поруч.,Ковбої сидять біля своїх коней.,1
"Як велика собака, так і маленька собака мають рот відкритий.",Обидві собаки приховають свої мови.,2
Чорна собака стрибає з пірса в озеро.,Чорна собака стрибає з краю в озеро.,1
"Чорна собака, яка стрибає.",Собака стрибає.,0
Великий коричневий собака піднімається по синій сході.,Животно ходить по сходах.,0
"Люди знаходяться в районі, де є світло, яке освітлює район.","Чоловіки знаходяться в районі, де світло освітлює",1
"Молоді дівчата, які носять зелений футболка і чорні шорти, розтягують ноги.",Дівчата перескокують по веревці.,2
Молода жінка в сині з червоною торбаю в спортзалі.,Жінка любить займатися різними видами спорту.,1
Біла жінка сидить за програмою і морозильником.,Жінка сидить біля морозивої стойки.,0
Жінки високої моди чекають біля трамваю поруч з натовпом людей в місті.,Жінки люблять мати гарне модне почуття.,1
Дві темнокосіті жінки готують їжу.,Жінки готують сніданок.,1
Дві жінки грають у ловку на дворі.,Дві жінки грають у лов.,0
"Три людини, всі в рукавичках, користуються колясом, щоб працювати в дворі в сонячний день.","Люди, які використовують коляску.",0
Люди синіми парасолями на пляжі.,Люди на пляжі охолоджуються під парасолями в жаркий день.,1
"Жінка, яка піднімає чотири пальці, привертає увагу молодого чоловіка в синій сукні.",Жінка жестикує.,0
"Голоногий людина має щось на обличчі і щось в руці з інструментами, що лежать навколо.","Чоловік з психічними проблемами знаходиться на вулиці, носить дивне скорочення на обличчі, тримаючи щось дивне.",1
Дівчина в рожевому шляпці сидить на землі.,Дівчина в червоному.,2
Три підліткові стоять поруч один з одним в класі з талоною за спиною.,Діти на вулиці граються.,2
"Маленький хлопчик з зелено-коричневою рубашкою, який стоїть на вулиці, уважно дивиться на небо.",Маленький хлопчик думає про погоду.,1
Браунно-білий собака біжить через сніг.,Собака біжить через траву в сонячний літний день.,2
Молода дівчина з фарбою на руках і обличчям малює картинку.,Дівчина використовує червону фарбу.,1
Дві дівчата сидять на дерев'яному підлозі.,Дві дівчата стоять.,2
Два чоловіки родять поле разом.,Дві жінки чистять кухню.,2
"Дві собаки гоняться на полі, і люди дивляться.",Люди гоняються зі своїми собаками на відкритому повітрі.,1
Молодий чоловік знімає фотографію жінки на доку.,"Жінка плаває в воді, а фотограф знімає човни.",2
Постаріша жінка в чорному платіжі тримає чорний парасоль над маленьким хлопчиком у червоній куртці і коричневих штанах на морі з човеном на задньому платі.,дитина спить у руках медсестер,2
Жінка з коричневими волоссями робить фото.,Жінка з коричневими волоссями займається ландшафтною фотографією.,1
"Жінка, що носить взуття, ходить голыми ногами на пляжі.",Жінка на відпустку.,1
"Жінка, що ходить з плешивим чоловіком, вказує на нас.",Жінка і чоловік ходять разом,0
Маленький хлопчик закопан у піску.,"Людина, похована в піску.",0
Дві жінки стоять поруч з автобусом.,Дві жінки їдять яйця разом.,2
Чоловік з баскетболом блокує спробу взяти його м'яч.,чоловік грає в баскетбол,0
"Чоловік знаходиться на поверхні води на воді, а вода випливає під ним.",В повітрі людина.,0
Чоловік у червоному свитере ходить мимо муральної картини.,Чоловік закінчив намалювати стенокартину.,1
"Дві жінки сидять на дивані, а одна носить дитину, а інша жінка вручає собаку.",Дві жінки їдуть в Альпи.,2
Люди мають з собою тварин.,Деякі люди ідуть за тваринами.,1
Молода дівчина стоїть на ліжку з синими чарцями.,Маленька дівчина сидить.,2
На березі біля коричневої води хлопчик тримає предмет біля ведра з тканин.,Хлопчик стоїть біля води.,0
"Чоловік у капелюзі і білої сорочки стрибає рибу на човні, що плаває на воді поруч з дерев'яною доком.",Чоловік сидить в бібліотеці в кампусі.,2
"Молодий чоловік, який сняться на красивому пляжі з вежем посеред моря.",Чоловік збирається прийняти ванну в морі.,1
"Багато підлітків на вулиці, гоняються один проти одного, сидіючи на відскочуючих топках.",старі пара повільно ходить по тротуар,2
Діти насолоджуються ігрою на нібито маленькій вечірці.,"Є люди, які грають в гру.",0
"У вуличному виконавці, одягненому в ангела, який робить балансований акт.",У вуличному виконавці одягнений як д'явол.,2
Три чоловіки їдять на парковому латуні.,Бенеч - це уявна.,2
"Дві дівчата грають в софтбол, одна з них слізгає в площину, а інша не може зламати м'яч.",Люди займаються спортом.,0
Молода дівчина в рожевому шляпі стоїть на травному полі.,Дівчина стоїть на полі.,0
Прекрасна леді займається йогою.,Молода дама займається йогою.,0
Багато мотоциклістів їдуть по вулиці.,Колонна вантажів перетинає пустелю.,2
Радий чоловік стрибає по веревці перед дверями.,Чоловік намагається подолати свій старий рекорд стрибок з веревки.,1
Маленька група жінок у традиційних темно-сині та білих кимоно і сандалах танцюють перед високою коричневою цверчною церквою.,"Жінки, які грають у футбол",2
"У лісовій області стоять кілька людей, з візуальним видом на відпочинок, двоє старших чоловіків і двоє дітей, включаючи молоду, посміхаючуся дівчину.",У лісополісному районі є дубини.,1
Хлопчик у білої рубашії дивиться через склянок на маленьке істотці.,Хлопчик дивиться на маленьке істотці в скляні.,0
Дві чоловіки в апельсинових сукенках ходять по вулиці.,Є двоє чоловіків.,0
"Дві хлопці ходять по мокрому участку тротуару, один тримає капелюх на голові, а інший - з парасолем.",Малі хлопці скидаються на сноуборд.,2
Бізнесмен виходить з автобусу з чашечкою кави.,Чоловік ходить з кавою і чаєм.,1
"Чоловік у джинсах з білими плямами фарби стоїть на короткій лестнице, працюючи на передній частині магазину.",Чоловік спить на халаці над травою.,2
Чоловік з синьою футболку і чорною шапкою ходить руками за спиною в алею вдень.,Чорний - улюблений колір людини.,1
Старіший чоловік сидить проти дзвінку з гітарою в руках.,Старший чоловік - музикант.,1
Дівчина в жовтому пальто сидить на каменному льві.,Є дівчина.,0
Жінка дивиться за плечо вуличного продавця їжі на натовпному ринку.,Людина є одна на порожньому ринку.,2
"Три чоловіки з відбиваючими сікками спостерігають за двома чоловіками з відбиваючими сікками, які кладуть каміння в діру в дорозі.",Люди перескачуються кам'ями.,2
"Дві жінки стоять разом серед натовпу людей, які їдять.",Жінки сидять поодинці.,2
"Хлопчик на велосипеді в повітрі після того, як спустився з дерев'яної рампи.",Хлопчик їздить на велосипеді.,0
"Браун-белая собака входить в воду, дивлячись назад.",Собака на стільці.,2
Браунна собака біжить у воді біля пляжу.,На вулиці працює лабораторія шоколаду.,1
Новинки стоять на вулиці в поїзді.,Дві люди сідуть на човен.,2
"Шість чорних поліцейських, біла поліцейський та білий поліцейський стоять на вулиці.",Поліція на вулиці.,0
"Пацієнт перебуває під анестезією і піддається інтенсивному операції, на якому відвідують кавказький хірург і кіруг Південно-Східної Азії.",Хірурги - найкращі в світі.,1
Жінка в чорній сукні ходить біля води.,жінка носить чорну сукню.,0
Людина в чорних парашутах з американським прапором,Чоловік у чорному ходить по вулиці з китайським прапором.,2
"Гімнастка захоплює повітря, коли скачує по декількох сходах.",Гімнастка захоплює повітря під час скачки з Місяця,2
"Золотий ретривер, який бегло на короткій траві в апельсиновому одязі.",Золотий ретривер гониться за тенісним м'ячкою.,1
Маленький хлопчик сидить на тротуар.,Хлопчик сидить на високому стільці.,2
"Жінка в чорній шапці і сонячних очках, що тримають червоний парасоль, ходить по певному тротуар.",На вулиці жінка.,0
"Коричнева собака, яка біжить в траві.",Собака плаває.,2
Постарша пара проходить мимо ювелірного магазину в сонячний день.,Пара йде на прогулянку.,0
Чоловік сидить у білому приміщенні серед різних науково-виглядаючих машин.,Животні у клітках у зоопарку.,2
На трасі гоняться вісім чоловіків у різних кольорів.,чоловіки всі гоняться,1
"Браунна собака, яка відпочиває на червоному, білому і блакитному афганському килим.",Біла кішка відпочиває на синій афганській килибі.,2
"Молодий чоловік, який використовує яблуковий комп'ютер, серфує в Інтернеті.","Чоловік використовує комп'ютер, щоб зробити тост.",2
"Чорна чашка, яка сидить на чорній тарілі, нагадує верхню шапку.",Чорний доз був зроблений з чистого золота,2
"Жінка в білому платіжі посміхається на какасу, який вона тримає.","Чоловік у білому одязі, який тримає кароль.",2
"Скуроза чорна дитина, яка носила розринуту коричневу футболку, прикочається біля маленького грязної водостоки, коли копає в бруді маленьким предметом.",Бедня дитина грає на вулиці.,0
Чоловік з червоною футболідою і рюкзаком знімає графіті на стіні.,Жінка-плей фарбує графітті на стіні.,2
"Чоловік стоїть на відстані на океані, а він стоїть на маленькій човні.",Катер офарбований синьою.,1
Невідомі тварини або людина плавають в природному озері.,"Особа, що плаває через озеро до острова.",1
Чоловік у синій сорочки стояв на тротуар.,Людське становище.,0
Дві люди з червоними жилетами стоять у білому снігу в проходу.,Два чоловіки в кабінеті.,2
Блондинка схиляється до двері і курить сигарету.,Юпінська дівчина спить у своїй кімнаті,2
"Жонглер, який кланяється після виступу.",Людина кланяється.,0
"Натовп дивиться, як гурт у червоних сорочках виступає на вулиці.",Група вражає натовп своєю інтенсивною музикою,1
Чоловік у червоному свитере сидить за столом з їжею і напоєм перед собою.,"Чоловік, який сидить за столом, тільки що з'їв і напоїв.",2
Водій БМКС стрибає з рампи.,Велосипедний їздівник стрибає з рампи.,0
"Чоловік у шапці, який стримує рослину.",На вулиці чоловік.,1
"Море людей, які тримають парасолі на натовпній вулиці.",Один чоловік на пустелій вулиці.,2
Ми бачимо знімок корейської історичної драми з чоловіком у яскраво-червоному і жовтому костюмі в першому плані.,гляджу драму,0
Група дівчат у рожевих формальних сукнів стоїть у черзі перед натовпом.,"Молоді чоловіки стоять у черзі, щоб отримати рыцарство.",2
"Три чоловіки, у жорстких шляпах і уніформах, працюють на полі.",Три чоловіки наполегливо працюють.,1
Жінка в зеленому платіжі сидить на розбитиму зеленому і жовтому стільці.,жінка носила шорти костюм,2
Діти грають з дистанційно управляемого автомобіля.,Діти їдуть на велосипедах.,2
"Азіатська дитина з жовтою луком у волоссях на візанті з азіатською жінкою, що стоїть за нею.",Азіатська дівчина упала з колебальника,2
Група кухливих волосся людей ходять по дожджливому тротуарі.,Група лысих людей ходять на вулиці під сонцем.,2
Дві маленькі діти граються палками на пляжі.,Діти - брати.,1
Роллерблейдер у червоній сорочки катається на ручніку.,Скеїнг на ролінах.,0
Чоловік у коричневій футболці розмовляє з жінкою в квітному танковому верхньому платі на концерті музики на відкритому повітрі.,Люди на фотографії на інді-фолк-фестивалі.,1
"Згортава фотографія жінки в червоному і червоному, що ходить по вулиці.",Жінка в червоному і чорному.,0
Чоловік робить кукли з декількох різних кусочок.,Одна з лялек має сині очі.,1
"Дитина в білому і оранжевому одязі, яка робить підсумки.",Дитина проводить тестування фітнесу.,1
"Група чорних хлопців в класі, одягнені в білі футболки, слухають промову про ЮНІСЕФ.","Група хлопців слухає представника Червоного Хреста, який розповідає про свою організацію.",2
Будівці почали де-небудь працювати.,Робітники були на перерві.,2
Група людей ходить по боці залізничної смуги.,"Гібо стрибає в залізничний автомобіль, коли він проходить мимо.",2
"Три людини, які дивляться на поле звідси.",Три людини стоять на полі.,2
"Три охоронці ведуть 11 верблюдів, кожен з яких носить пару вершніків, через плитку воду на пляжі.",Три жінки їхали на мешках через ліс.,2
"Механік, який працює на автобусі.","Офісний працівник, який працює на автобусі.",2
Близької картини маленької дівчини на візанні.,Хтось сидить.,0
Чоловік у синій сорочки ходить з чоловіком у червоній.,Два чоловіки в футболках ходять,0
"Чоловік з татуїрованою рубашкою, кинув червону рубашку, тримає малюка на плечі.",Чоловік носить собаку на плечах.,2
"Постарший чоловік ходить по вулиці, поєднуній графіті.","Чоловік, який ходить на вулиці.",0
"Сім'я, яка насолоджувалася морозивом на доході.",Сім'я носить шляпки.,1
"Чоловік стоїть біля великої металевої статуї, що має форму труб для органів.",Чоловік лежить на пляжі,2
Чоловік стоїть поруч з трьома відеоіграми і півовим знаком.,Хтось стоїть біля ігрових пристроїв і знаку.,1
"У турнірі ""Ролер дербі"" зіграють сім жінок, і на задньому місці - суддя.",Сім жінок щасливо конкурують.,1
Дитина в червоній куртці гониться за голубами.,дитина любить птахів,1
"молода жінка, яка стрибає на лук",Жінка стрибає до лука,1
Дитина в зелених штанах намагається встати на полі в яскраво синій день.,Дитина в розовому робить сомерсаулт на полі,2
"блондинка, з сигаретою в роті і напоєм в руці, слухає музику.",Жінка гори.,2
Два чоловіки розмовляють на тротуар у місті поруч з магазином.,Дві чоловіки стоять біля магазину одягу.,1
Людина в коричневому сувертині перевертається в повітрі над трамполіном з річкою і електричними лініями на задньому плані.,Хтось в шортах на трамполіні.,1
"Постарілий чоловік усміхається перед камерою, працюючи в дереворобні.",Старий чоловік працює над своїм новим Харлі.,2
Дві собаки грають у піску.,Два кішки грають у піску.,2
"старша жінка, яка прогулює собаку.",Жінка і собака на вулиці.,0
"Жінка в синій сукні, яка тримає апельсинові квіти на вечірці з блондинцем перед собою.",риби сині,2
Маленька дівчинка з довгими блондинками ходить на вулиці.,"Маленька дівчинка, яка ходила на вулиці.",0
Футбольна гра або футбольна гра,Футбол і футбол популярні.,1
"Дві дайвери під водою, одягнені в білі футболки і підводне обладнання, а також пліті на ногах.",Дві люди під водою з підводним обладнанням.,0
"Старіша жінка показує молодшему хлопчику рептилийну тварину, а дівчинка сидить на задньому плані.",Молода дівчина сидить.,0
"Маленький хлопчик, одягнений у важкі зимові одяги, клається на коліна в снігу і обіймає свою сорову і білу собаку.","Дитина і його домашнє тварина перебувають на вулиці в холодну погоду, тісно разом.",0
Чотири хлопчиків тримають в руках іграшки під павільйоном.,Хлопці грають в поліцейських і грабителів.,1
"Група робітників в пустелі, двоє з колесними барелями і двоє просто стоять навколо.",Дві працівники не мають нічого робити і нудьгують,1
Стомлений старий чоловік у соровому костюмі відпочиває біля фонтана в парку.,Старий чоловік розслабляється.,0
Три з половиною дітей з жовтим і білим поясами займаються карате.,Вони ходять на заняття карате кожен понеділок.,1
Спортсмен біжить через гоночні смуги на трасі.,Спортсмен біжить через трасу.,0
"Чоловік у білих годинниках, як інший чоловік використовує свою машину для копання бруду.",чоловіки готують яйця,2
Чоловік виконавчий грає на вільню.,Собака втомлена і не хоче слухати.,2
Дівчина з сірою футболкою і синим свитером сидить за столом.,Дівчина за столом.,0
"Блондинка в білому танковому верхньому та сонячних окулярах розмовляє з чоловіком, який сидить поруч з човтами на скелі.",Чоловік і жінка сидять разом на дивані,2
Жінка і дитина сидять на снігу серед гірськолижного обладнання.,Жінка і дитина стоять.,2
Діти грають в софтбол.,Діти змагаються за чемпіонат.,1
"Це чоловік і жінка, які тримають в руках свідоцтво про шлюб.",чоловік не тримає нічого.,2
"Чоловік у синій і білий футболці їздить, несучи дерево з іншим чоловіком у білій куртці.",Чоловік падає.,0
"Говоріць одягнув темну футболку і шапку, показувавши своїм молодим пасажирам значок з правилами.","Говоріць одягнув темну футболку і шапку, показувавши на знак, на якому були записані правила для своїх маленьких пасажирів на літаку",1
"Три чоловіки поспешно спускаються по тротуар, виглядаючи щасливими.",жінки їдуть,2
Дві чоловіки в уніформах намагаються ударити в одну і ту ж м'яч дерев'яними палками.,Два чоловіки одягаються в різні форму і намагаються побити різні топки.,2
"Чоловік викручує своє тіло, коли грає в бейсбол.","Чоловік, який грає в гольф.",2
"Діти, які грають у громадських водоплавках.",Діти грають з водою.,0
"Чоловік у чорній рубаці і джинсі ходить поруч з жінкою в чорних штанах і квітовій рубаці перед столом для напоїв, а інші ходять поруч.",Пара любить один одного.,1
Три собаки втікнулися в воду.,Три собаки вбивають у воду,0
Осем молодих людей сидять в грубому крузі на траві на дні незначного схилу з трема деревами на задньому плані.,Осем молодих людей проводять конкурс кулінарності,2
Сім робітників ходять біля вантажного судна.,Сім собак грають на пляжі.,2
Дві жінки дивляться на якийсь далекий захід.,Дві жінки дивляться на відстань.,0
Дівчина з третього світу в халаці.,дівчина в хамаці,0
Чоловік піднімає руку за прапор.,Рука людини на його боці,2
Гурт грає рок-шоу перед публікою в барі.,Чоловік одинок на сцені.,2
"Троє дітей у віці від 6 до 9 років на сонячному дні стоять на краю, тримаючи рослини над краю.",Деякі діти люблять перебувати на сонці.,1
Дві повноцінні діти беруть участь у хокеї.,Діти стрибають до басейну.,2
"Два молодих хлопчиків, які ткають риболовну мережу.",Два чоловіки готують вечерю.,2
"Натовп людей дивиться, як вуличний виконавця робить трюк з украйним палочковим палком.",Тут натовп людей.,0
Чоловік входить в будівлю.,Жінка виходить з будівлі.,2
Дівчина в рожевому одязі дивиться через багаж у шаті.,Дівчина лежить у своєму класі.,2
"Особа, яка сидить на доку на пляжі і дивиться на океан.",Чоловік на вулиці.,0
"Молодий чоловік, який використовує лісний дзьмульник для очищення осіннього сезону, виходить з області.",Чоловік чистить свій підхід.,1
"Чоловік, який продає кольорові ковпати, в сонячний день насолоджується випиттям з чашки кави.",Щасливий клієнт купив продавцю чашку кави.,1
"маленька дівчинка в спортзалі зі волоссями, які літають в повітрі",Дівчинка їздить на велосипеді в парку.,2
Чоловік з швейного машини дивиться вперед.,У чоловіка є швейна машина.,0
"Жінка, яка носить рожеву футболку, використовує тренувальну техніку.",чоловік займається спортом,2
Дві діти граються в воді надземного басейну.,Діти розплювають один одного в басейні.,1
"Білий шчанюк ходить по брудовому шляху, за ним за спиною, за спиною, за спиною.",Щенце ходить по брудовому шляху.,0
Ця команда южноафриканських спортсменів має інвалідність.,Спортсмени займаються спортом.,0
Леді записує.,Дівчинка писала,0
"Маленька чорна і коричнева собака, яка грає з червоною м'ячкою на траві.",Собака грає в басейні.,2
"Маленький хлопчик розтягується, щоб дотримати пропеллю літаку.","Маленький хлопчик розтягнувся, щоб дотримати пальців ноги.",2
"Дві люди, які працюють на велосипеді в обмеженому просторі.",Дві люди вечерюють разом в ресторані.,2
"Дві чоловіки, один з яких тримає мікрофон, розмовляють, стоячи на дерев'яному підлозі, призначеному для спортивного заходу.",Дві чоловіки знаходяться в будівлі.,0
"Мужська фігура, що стоїть і дивиться через водоросли.","Водоподібность більша, ніж людина.",0
Білий фургон з графіті їздить перед ринком.,"На вулиці їздить фургон, покритий графіті.",0
"Три жінки сидять навколо піднятого вогненного ямика, готують молодих свиней.",Чоловік танцює,2
Молодий чоловік робить трюк на скейтбордах з бетонної лавки.,"Він всередині, роблють трики у спальні.",2
Жінка в горчичному сукні з білою сумочкою ходить по вулиці перед кирпічним будівлею.,"Жінка, яка ходить по вулиці, не носить ніякій підніжки.",1
"Дівчина з дерев'яною шлангом, стоїть на лінії дерева і тягне за спиною стук на шлангу.",дівчина знаходиться на вулиці.,0
Маленький хлопчик з дурним обличчям закручений на автосідлі.,Дитина читає книгу під покривом ліжка вночі.,2
